label,_page,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,borough
WHITE PLAINS ROAD LINE—NET TOTAL,4,6114741.0,8522180.0,8868040.0,7053044.0,7669437.0,8119902.0,8740767.0,9390487.0,11409708.0,14876316.0,Bronx
"Dr. Adjustment of Joint Traffic, 3d Ave. 'El'",4,850559.0,1244155.0,1272043.0,1452092.0,1581730.0,2250690.0,3184875.0,3341401.0,,17148647.0,Bronx
WHITE PLAINS RD. LINE—GROSS TOTAL,4,6114741.0,7372979.0,8110192.0,6021771.0,8228008.0,2785576.0,2994491.0,3300814.0,3867076.0,4065654.0,Bronx
180th St—Morris Pk. Ave.,4,2231700.0,2595200.0,2687450.0,3201771.0,8228008.0,,254130.0,318850.0,338622.0,438623.0,Bronx
Bronx Park,4,213600.0,243660.0,240440.0,213090.0,230855.0,228120.0,254130.0,,271010.0,775560.0,Bronx
Pelham Parkway,4,56980.0,68645.0,83420.0,148260.0,252190.0,390641.0,669580.0,1057895.0,1655262.0,2301846.0,Bronx
Allerton Avenue,4,182485.0,229500.0,291620.0,389060.0,447084.0,555661.0,648357.0,,1004614.0,2393234.0,Bronx
Burke Avenue,4,278920.0,329810.0,360060.0,397655.0,447084.0,555661.0,648357.0,813524.0,860188.0,966808.0,Bronx
Gun Hill Road,4,411960.0,474200.0,544280.0,608400.0,700349.0,857803.0,947143.0,1041879.0,1133853.0,1179382.0,Bronx
E. 219th Street,4,563820.0,698600.0,732102.0,752679.0,843499.0,857803.0,856379.0,1000049.0,1134853.0,1248498.0,Bronx
E. 225th Street,4,480960.0,537940.0,502880.0,616804.0,704737.0,626491.0,739021.0,857318.0,1010721.0,1215458.0,Bronx
E. 233d Street,4,638640.0,706200.0,608200.0,704870.0,809004.0,626450.0,848318.0,949214.0,,,Bronx
E. 238th Street,4,1440700.0,858600.0,270100.0,328867.0,437669.0,,,,2446814.0,2592148.0,Bronx
E. 241st Street (from 12/13/80),4,984.0,966400.0,1075800.0,1999848.0,2011265.0,,,107.0,,889.0,Bronx
Miscellaneous ticket sales,4,,,,765.0,,,,,,,Brooklyn
EASTERN PARKWAY LINE—NET TOTAL,4,,24856428.0,29909851.0,36492610.0,39620188.0,41874144.0,42848999.0,56117862.0,84844877.0,87827687.0,Brooklyn
MAIN LINE,4,,12461200.0,14869521.0,17890700.0,19902495.0,,2082104.0,2128325.0,2300076.0,2308120.0,Brooklyn
Prospect Pk. Plaza (from 10/3/20),4,,1386220.0,1918971.0,1940606.0,1947990.0,1927964.0,2082104.0,2128325.0,2300076.0,2308120.0,Brooklyn
Prospect Pk. Plaza (from 10/3/20),4,,1676700.0,2394900.0,2483277.0,2627868.0,2547976.0,1479919.0,1601243.0,1789853.0,1809350.0,Brooklyn
Eastern Parkway (from 10/3/80),4,,,,,,4433599.0,2919810.0,3265083.0,3823817.0,4281877.0,Brooklyn
Franklin Ave. (from 8/13/80),4,,,,,,1888424.0,,,,,Brooklyn
Nostrand Ave. (from 8/23/80),4,,1399900.0,1820400.0,2119085.0,3376798.0,4440892.0,2688438.0,2665567.0,2931586.0,3011954.0,Brooklyn
Kingston Ave. (from 8/23/80),4,,,,3544077.0,4131112.0,4707610.0,6077103.0,7149464.0,,,Brooklyn
Utica Ave. (from 8/23/80),4,,3888000.0,3240300.0,,,,,17849711.0,20821827.0,21010106.0,Brooklyn
